GTIN Code;GTIN Name;Segmentation (GPC);GPC Segmentation Code;GPC Brick Code;GPC Class Code;GPC Family Code;GTIN Image;Brand Code;Brand;Brand Image;Brand Link;Brand Owner;Brand Owner Code;Brand Owner Link;Brand Owner Wikipedia Link;Brand Owner Image;GCP Code;GLN Code;Logistical Owner (GLN);GLN Country ISO Code;GLN City;GLN Postal Code;GLN Address2;GLN Address3;GLN Address4;GLN Last Change;GLN Return Code;Number of Units;Package Type Code;Package Type Name;Weight (g);Weight (oz);Volume (ml);Volume (fl oz);Alcohol by Volume;Alcohol by Weight;Registration;Registration Country ISO Code
0036144030535;Vanilla Pudding;;;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036144030535.jpg;;;;;;;;;;0036144;0036144000002;Gehl Foods, Inc.;US;Germantown;53022;N116 W15970 Main St;;WI;;0;1;;;;56.0;;;;;GS1 US;US
0036144500007;Iced Latte;;;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036144500007.jpg;;;;;;;;;;0036144;0036144000002;Gehl Foods, Inc.;US;Germantown;53022;N116 W15970 Main St;;WI;;0;1;;;;;325.0;11.0;;;GS1 US;US
0036144500038;Iced Cappuccino;;;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036144500038.jpg;;;;;;;;;;0036144;0036144000002;Gehl Foods, Inc.;US;Germantown;53022;N116 W15970 Main St;;WI;;0;1;;;;;325.0;11.0;;;GS1 US;US
0036155267838;Bassett Mirror Regency Chairside Chest;;;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036155267838.jpg;;;;;;;;;;0036155;0036155000015;Bassett Mirror Company, Inc.;US;Bassett;24055-0627;P O Box 627;;VA;;0;1;;;;;;;;;GS1 US;US
0036179000114;Professional Whitening Toothpaste Icy Mint;;;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036179000114.jpg;;;;;;;;;;0036179;0036179000008;Robell Research Inc.;US;New York;10022;635 Madison Avenue;;NY;;0;1;;;;4.2;;;;;GS1 US;US
0036179000305;Single Dose Powdered Mouth Rinse Just Add Water 60 Individual Packets;;;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036179000305.jpg;;;;;;;;;;0036179;0036179000008;Robell Research Inc.;US;New York;10022;635 Madison Avenue;;NY;;0;1;;;;;;;;;GS1 US;US
0036179000350;Liquid Oral Rinse;;;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036179000350.jpg;;;;;;;;;;0036179;0036179000008;Robell Research Inc.;US;New York;10022;635 Madison Avenue;;NY;;0;1;;;;18.5;;;;;GS1 US;US
0036179000411;45 Ergonomic Toothbrush Blue 1 Toothbursh 1 toothbrush;;;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036179000411.jpg;;;;;;;;;;0036179;0036179000008;Robell Research Inc.;US;New York;10022;635 Madison Avenue;;NY;;0;1;;;;;;;;;GS1 US;US
0036179000671;Ultimate Whitening System 1 Kit;;;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036179000671.jpg;;;;;;;;;;0036179;0036179000008;Robell Research Inc.;US;New York;10022;635 Madison Avenue;;NY;;0;1;;;;;;;;;GS1 US;US
0036179000923;Professional Whitening System 2 piece large kit;;;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0036179000923.jpg;;;;;;;;;;0036179;0036179000008;Robell Research Inc.;US;New York;10022;635 Madison Avenue;;NY;;0;1;;;;;;;;;GS1 US;US
